Company,Ticker,EPS_initial,EPS_latest
Adobe Inc.,ADBE,$0.53,$12.36
Advanced Micro Devices,AMD,$-0.53,$1.00
Airbnb,ABNB,,$4.11
Alphabet Inc. (Class A),GOOGL,$1.03,$8.04
Alphabet Inc. (Class C),GOOG,$1.03,$8.04
Amazon,AMZN,$-0.03,$5.53
American Electric Power,AEP,$3.34,$5.58
Amgen,AMGN,$6.70,$7.56
Analog Devices,ADI,$1.98,$3.28
Apple Inc.,AAPL,$1.61,$6.08
Applied Materials,AMAT,$0.87,$8.61
AppLovin,APP,,$4.53
Arm Holdings,ARM,,$0.29
ASML Holding,ASML,$3.62,$20.82
AstraZeneca,AZN,$0.49,$2.25
Atlassian,TEAM,$0.11,$-1.16
Autodesk,ADSK,$1.00,$4.19
Automatic Data Processing,ADP,$3.14,$9.10
Axon Enterprise,AXON,$0.37,$4.80
Baker Hughes,BKR,$3.92,$2.98
Biogen,BIIB,$12.37,$11.18
Booking Holdings,BKNG,$45.67,$172.69
Broadcom,AVGO,$0.10,$1.23
Cadence Design Systems,CDNS,$0.52,$3.85
CDW Corporation,CDW,$1.42,$7.97
Charter Communications,CHTR,$-1.88,$34.97
Cintas,CTAS,$0.76,$3.79
Cisco,CSCO,$1.49,$2.54
Coca-Cola Europacific Partners,CCEP,$2.63,$3.33
Cognizant,CTSH,$2.35,$4.51
Comcast,CMCSA,$1.60,$4.14
Constellation Energy,CEG,,$11.89
Copart,CPRT,$0.17,$1.40
CoStar Group,CSGP,$0.15,$0.34
Costco,COST,$4.65,$16.56
CrowdStrike,CRWD,,$0.37
CSX Corporation,CSX,$0.64,$1.79
Datadog,DDOG,,$0.52
DexCom,DXCM,$-0.08,$1.42
Diamondback Energy,FANG,$3.64,$15.53
DoorDash,DASH,,$0.29
Electronic Arts,EA,$0.03,$4.68
Exelon,EXC,$1.88,$2.45
Fastenal,FAST,$0.42,$1.00
Fortinet,FTNT,$0.03,$2.26
GE HealthCare,GEHC,,$4.34
Gilead Sciences,GILD,$7.35,$0.38
GlobalFoundries,GFS,,$-0.48
Honeywell,HON,$5.33,$8.71
Idexx Laboratories,IDXX,$1.79,$10.67
Intel,INTC,$2.31,$-4.38
Intuit,INTU,$3.12,$10.43
Intuitive Surgical,ISRG,$1.23,$6.42
Keurig Dr Pepper,KDP,$3.56,$1.05
KLA Corporation,KLAC,$3.47,$20.28
Kraft Heinz,KHC,$-0.17,$2.26
Lam Research,LRCX,$0.36,$2.90
Linde plc,LIN,$5.73,$13.62
Lululemon,LULU,$1.91,$12.20
Marriott International,MAR,$2.54,$8.33
Marvell Technology,MRVL,$0.63,$-1.08
Mercado Libre,MELI,$1.63,$37.69
Meta Platforms,META,$1.10,$23.86
Microchip Technology,MCHP,$0.91,$3.48
Micron Technology,MU,$2.54,$0.70
Microsoft,MSFT,$2.63,$11.80
MicroStrategy,MSTR,$0.04,$-6.06
Mondelez International,MDLZ,$1.28,$3.42
Monster Beverage,MNST,$0.46,$1.49
"Netflix, Inc.",NFLX,$0.62,$19.83
Nvidia,NVDA,$0.02,$1.19
NXP Semiconductors,NXPI,$2.17,$9.73
O'Reilly Automotive,ORLY,$0.49,$2.71
Old Dominion Freight Line,ODFL,$1.03,$5.48
Onsemi,ON,$0.43,$3.63
Paccar,PCAR,$2.55,$7.90
Palantir Technologies,PLTR,,$0.19
Palo Alto Networks,PANW,$-0.51,$3.64
Paychex,PAYX,$1.71,$4.67
PayPal,PYPL,$0.34,$3.99
PDD Holdings,PDD,,$10.40
PepsiCo,PEP,$4.27,$6.95
Qualcomm,QCOM,$4.65,$8.97
Regeneron Pharmaceuticals,REGN,$2.98,$38.34
Roper Technologies,ROP,$6.40,$14.35
Ross Stores,ROST,$1.94,$5.56
Shopify,SHOP,$-0.06,$1.55
Starbucks,SBUX,$1.35,$3.31
Synopsys,SNPS,$1.64,$14.51
T-Mobile US,TMUS,$0.30,$9.66
Take-Two Interactive,TTWO,$3.20,$-22.01
"Tesla, Inc.",TSLA,$-0.16,$2.04
Texas Instruments,TXN,$2.57,$5.20
Thomson Reuters,TRI,$2.69,$4.89
Trade Desk (The),TTD,$0.00,$0.78
Verisk Analytics,VRSK,$2.37,$6.71
Vertex Pharmaceuticals,VRTX,$-3.14,$-2.08
Warner Bros. Discovery,WBD,$1.66,$-4.62
"Workday, Inc.",WDAY,,
Xcel Energy,XEL,$2.03,$3.44
Zscaler,ZS,,$-0.39
